[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Bear +2,91,125. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	92
12.66	92
12.66	130
12.91	130
12.91	92
13.58	92
13.58	130
13.91	130
13.91	92
14.58	92
14.58	130
15	130
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	130
20.66	130
20.66	88
20.91	88
20.91	130
21.33	130
21.33	88
21.83	88
21.83	130
22.25	130
22.25	88
22.5	88
22.5	130
22.91	130
22.91	88
23.41	88
23.41	130
23.83	130
23.83	88
24.08	88
24.08	130
24.5	130
24.5	88
24.75	88
24.75	130
25.16	130
25.16	40
30.16	40
30.16	88
30.41	88
30.41	130
30.83	130
30.83	88
31.08	88
31.08	130
31.5	130
31.5	88
32	88
32	130
32.41	130
32.41	88
32.66	88
32.66	130
33.08	130
33.08	88
33.58	88
33.58	130
34	130
34	88
34.25	88
34.25	130
34.66	130
34.66	88
34.91	88
34.91	130
35.33	130
35.33	40
40.33	40
40.33	88
40.58	88
40.58	130
41	130
41	88
41.25	88
41.25	130
41.66	130
41.66	88
42.16	88
42.16	130
42.58	130
42.58	88
42.83	88
42.83	130
43.25	130
43.25	88
43.75	88
43.75	130
44.16	130
44.16	88
44.41	88
44.41	130
44.83	130
44.83	88
45.08	88
45.08	130
45.5	130
45.5	40
50.5	40
50.5	88
50.75	88
50.75	130
51.16	130
51.16	88
51.41	88
51.41	130
51.83	130
51.83	88
52.33	88
52.33	130
52.75	130
52.75	88
53	88
53	130
53.41	130
53.41	88
53.91	88
53.91	130
54.33	130
54.33	88
54.58	88
54.58	130
55	130
55	88
55.25	88
55.25	130
55.66	130
55.66	40
60.66	40
60.66	88
60.91	88
60.91	130
61.33	130
61.33	88
61.58	88
61.58	130
62	130
62	88
62.5	88
62.5	130
62.91	130
62.91	88
63.16	88
63.16	130
63.58	130
63.58	88
64.08	88
64.08	130
64.5	130
64.5	88
64.75	88
64.75	130
65.16	130
65.16	88
65.41	88
65.41	130
65.83	130
65.83	40
70.83	40
70.83	88
71.08	88
71.08	130
71.5	130
71.5	88
71.75	88
71.75	130
72.16	130
72.16	88
72.66	88
72.66	130
73.08	130
73.08	88
73.33	88
73.33	130
73.75	130
73.75	88
74.25	88
74.25	130
74.66	130
74.66	88
74.91	88
74.91	130
75.33	130
75.33	88
75.58	88
75.58	130
76	130
76	40
81	40
81	88
81.25	88
81.25	130
81.66	130
81.66	88
81.91	88
81.91	130
82.33	130
82.33	88
82.83	88
82.83	130
83.25	130
83.25	88
83.5	88
83.5	130
83.91	130
83.91	88
84.41	88
84.41	130
84.83	130
84.83	88
85.08	88
85.08	130
85.5	130
85.5	88
85.75	88
85.75	130
86.16	130
86.16	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
360	720	Endurance 1
720	760	Sweet Spot 1
760	775	Sprint 1
775	815	Sweet Spot 2
815	835	Sprint 2
835	875	Sweet Spot 3
875	900	Sprint 3
1200	1215	Sweet Spot 4
1215	1240	Sprint 4
1240	1255	Sweet Spot 5
1255	1280	Sprint 5
1280	1310	Sweet Spot 6
1310	1335	Sprint 6
1335	1350	Sweet Spot 7
1350	1375	Sprint 7
1375	1405	Sweet Spot 8
1405	1430	Sprint 8
1430	1445	Sweet Spot 9
1445	1470	Sprint 9
1470	1485	Sweet Spot 10
1485	1510	Sprint 10
1810	1825	Sweet Spot 11
1825	1850	Sprint 11
1850	1865	Sweet Spot 12
1865	1890	Sprint 12
1890	1920	Sweet Spot 13
1920	1945	Sprint 13
1945	1960	Sweet Spot 14
1960	1985	Sprint 14
1985	2015	Sweet Spot 15
2015	2040	Sprint 15
2040	2055	Sweet Spot 16
2055	2080	Sprint 16
2080	2095	Sweet Spot 17
2095	2120	Sprint 17
2420	2435	Sweet Spot 18
2435	2460	Sprint 18
2460	2475	Sweet Spot 19
2475	2500	Sprint 19
2500	2530	Sweet Spot 20
2530	2555	Sprint 20
2555	2570	Sweet Spot 21
2570	2595	Sprint 21
2595	2625	Sweet Spot 22
2625	2650	Sprint 22
2650	2665	Sweet Spot 23
2665	2690	Sprint 23
2690	2705	Sweet Spot 24
2705	2730	Sprint 24
3030	3045	Sweet Spot 25
3045	3070	Sprint 25
3070	3085	Sweet Spot 26
3085	3110	Sprint 26
3110	3140	Sweet Spot 27
3140	3165	Sprint 27
3165	3180	Sweet Spot 28
3180	3205	Sprint 28
3205	3235	Sweet Spot 29
3235	3260	Sprint 29
3260	3275	Sweet Spot 30
3275	3300	Sprint 30
3300	3315	Sweet Spot 31
3315	3340	Sprint 31
3640	3655	Sweet Spot 32
3655	3680	Sprint 32
3680	3695	Sweet Spot 33
3695	3720	Sprint 33
3720	3750	Sweet Spot 34
3750	3775	Sprint 34
3775	3790	Sweet Spot 35
3790	3815	Sprint 35
3815	3845	Sweet Spot 36
3845	3870	Sprint 36
3870	3885	Sweet Spot 37
3885	3910	Sprint 37
3910	3925	Sweet Spot 38
3925	3950	Sprint 38
4250	4265	Sweet Spot 39
4265	4290	Sprint 39
4290	4305	Sweet Spot 40
4305	4330	Sprint 40
4330	4360	Sweet Spot 41
4360	4385	Sprint 41
4385	4400	Sweet Spot 42
4400	4425	Sprint 42
4425	4455	Sweet Spot 43
4455	4480	Sprint 43
4480	4495	Sweet Spot 44
4495	4520	Sprint 44
4520	4535	Sweet Spot 45
4535	4560	Sprint 45
4860	4875	Sweet Spot 46
4875	4900	Sprint 46
4900	4915	Sweet Spot 47
4915	4940	Sprint 47
4940	4970	Sweet Spot 48
4970	4995	Sprint 48
4995	5010	Sweet Spot 49
5010	5035	Sprint 49
5035	5065	Sweet Spot 50
5065	5090	Sprint 50
5090	5105	Sweet Spot 51
5105	5130	Sprint 51
5130	5145	Sweet Spot 52
5145	5170	Sprint 52
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

