[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Grassy Ridge +3,86,71. Created by 32607.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12.5	72
12.5	115
13	115
13	60
13.5	60
13.5	115
14	115
14	60
14.5	60
14.5	115
15	115
15	10
16	10
16	40
20	40
20	130
20.5	130
20.5	60
21	60
21	130
21.5	130
21.5	60
22	60
22	130
22.5	130
22.5	60
23	60
23	130
23.5	130
23.5	60
24	60
24	130
24.5	130
24.5	60
25	60
25	130
25.5	130
25.5	60
26	60
26	130
26.5	130
26.5	60
27	60
27	130
27.5	130
27.5	60
28	60
28	130
28.5	130
28.5	40
32.5	40
32.5	130
33	130
33	60
33.5	60
33.5	130
34	130
34	60
34.5	60
34.5	130
35	130
35	60
35.5	60
35.5	130
36	130
36	60
36.5	60
36.5	130
37	130
37	60
37.5	60
37.5	130
38	130
38	60
38.5	60
38.5	130
39	130
39	60
39.5	60
39.5	130
40	130
40	60
40.5	60
40.5	130
41	130
41	40
45	40
45	130
45.5	130
45.5	60
46	60
46	130
46.5	130
46.5	60
47	60
47	130
47.5	130
47.5	60
48	60
48	130
48.5	130
48.5	60
49	60
49	130
49.5	130
49.5	60
50	60
50	130
50.5	130
50.5	60
51	60
51	130
51.5	130
51.5	60
52	60
52	130
52.5	130
52.5	60
53	60
53	130
53.5	130
53.5	40
57	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3420	Workout
360	750	Endurance 1
750	780	VO2 Max 1
780	810	Endurance 2
810	840	VO2 Max 2
840	870	Endurance 3
870	900	VO2 Max 3
1200	1230	Sprint 1
1230	1260	Endurance 4
1260	1290	Sprint 2
1290	1320	Endurance 5
1320	1350	Sprint 3
1350	1380	Endurance 6
1380	1410	Sprint 4
1410	1440	Endurance 7
1440	1470	Sprint 5
1470	1500	Endurance 8
1500	1530	Sprint 6
1530	1560	Endurance 9
1560	1590	Sprint 7
1590	1620	Endurance 10
1620	1650	Sprint 8
1650	1680	Endurance 11
1680	1710	Sprint 9
1950	1980	Sprint 10
1980	2010	Endurance 12
2010	2040	Sprint 11
2040	2070	Endurance 13
2070	2100	Sprint 12
2100	2130	Endurance 14
2130	2160	Sprint 13
2160	2190	Endurance 15
2190	2220	Sprint 14
2220	2250	Endurance 16
2250	2280	Sprint 15
2280	2310	Endurance 17
2310	2340	Sprint 16
2340	2370	Endurance 18
2370	2400	Sprint 17
2400	2430	Endurance 19
2430	2460	Sprint 18
2700	2730	Sprint 19
2730	2760	Endurance 20
2760	2790	Sprint 20
2790	2820	Endurance 21
2820	2850	Sprint 21
2850	2880	Endurance 22
2880	2910	Sprint 22
2910	2940	Endurance 23
2940	2970	Sprint 23
2970	3000	Endurance 24
3000	3030	Sprint 24
3030	3060	Endurance 25
3060	3090	Sprint 25
3090	3120	Endurance 26
3120	3150	Sprint 26
3150	3180	Endurance 27
3180	3210	Sprint 27
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

