[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Lafaytte +1,89,101. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	92
20.25	92
20.25	125
20.5	125
20.5	92
20.75	92
20.75	125
21	125
21	92
21.5	92
21.5	125
21.75	125
21.75	92
22	92
22	125
22.25	125
22.25	92
22.75	92
22.75	125
23	125
23	92
23.25	92
23.25	125
23.5	125
23.5	92
24	92
24	125
24.25	125
24.25	92
24.5	92
24.5	125
24.75	125
24.75	40
26.75	40
26.75	10
27.75	10
27.75	40
29.75	40
29.75	92
30	92
30	125
30.25	125
30.25	92
30.5	92
30.5	125
30.75	125
30.75	92
31.25	92
31.25	125
31.5	125
31.5	92
31.75	92
31.75	125
32	125
32	92
32.5	92
32.5	125
32.75	125
32.75	92
33	92
33	125
33.25	125
33.25	92
33.75	92
33.75	125
34	125
34	92
34.25	92
34.25	125
34.5	125
34.5	40
36.5	40
36.5	10
37.5	10
37.5	40
39.5	40
39.5	92
39.75	92
39.75	125
40	125
40	92
40.25	92
40.25	125
40.5	125
40.5	92
41	92
41	125
41.25	125
41.25	92
41.5	92
41.5	125
41.75	125
41.75	92
42.25	92
42.25	125
42.5	125
42.5	92
42.75	92
42.75	125
43	125
43	92
43.5	92
43.5	125
43.75	125
43.75	92
44	92
44	125
44.25	125
44.25	40
46.25	40
46.25	10
47.25	10
47.25	40
49.25	40
49.25	92
49.5	92
49.5	125
49.75	125
49.75	92
50	92
50	125
50.25	125
50.25	92
50.75	92
50.75	125
51	125
51	92
51.25	92
51.25	125
51.5	125
51.5	92
52	92
52	125
52.25	125
52.25	92
52.5	92
52.5	125
52.75	125
52.75	92
53.25	92
53.25	125
53.5	125
53.5	92
53.75	92
53.75	125
54	125
54	40
56	40
56	10
57	10
57	40
59	40
59	92
59.25	92
59.25	125
59.5	125
59.5	92
59.75	92
59.75	125
60	125
60	92
60.5	92
60.5	125
60.75	125
60.75	92
61	92
61	125
61.25	125
61.25	92
61.75	92
61.75	125
62	125
62	92
62.25	92
62.25	125
62.5	125
62.5	92
63	92
63	125
63.25	125
63.25	92
63.5	92
63.5	125
63.75	125
63.75	40
65.75	40
65.75	10
66.75	10
66.75	40
68.75	40
68.75	92
69	92
69	125
69.25	125
69.25	92
69.5	92
69.5	125
69.75	125
69.75	92
70.25	92
70.25	125
70.5	125
70.5	92
70.75	92
70.75	125
71	125
71	92
71.5	92
71.5	125
71.75	125
71.75	92
72	92
72	125
72.25	125
72.25	92
72.75	92
72.75	125
73	125
73	92
73.25	92
73.25	125
73.5	125
73.5	40
77	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4620	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1290	Sweet Spot 3
1290	1305	Sprint 6
1305	1320	Sweet Spot 4
1320	1335	Sprint 7
1335	1365	Sweet Spot 5
1365	1380	Sprint 8
1380	1395	Sweet Spot 6
1395	1410	Sprint 9
1410	1440	Sweet Spot 7
1440	1455	Sprint 10
1455	1470	Sweet Spot 8
1470	1485	Sprint 11
1785	1800	Sweet Spot 9
1800	1815	Sprint 12
1815	1830	Sweet Spot 10
1830	1845	Sprint 13
1845	1875	Sweet Spot 11
1875	1890	Sprint 14
1890	1905	Sweet Spot 12
1905	1920	Sprint 15
1920	1950	Sweet Spot 13
1950	1965	Sprint 16
1965	1980	Sweet Spot 14
1980	1995	Sprint 17
1995	2025	Sweet Spot 15
2025	2040	Sprint 18
2040	2055	Sweet Spot 16
2055	2070	Sprint 19
2370	2385	Sweet Spot 17
2385	2400	Sprint 20
2400	2415	Sweet Spot 18
2415	2430	Sprint 21
2430	2460	Sweet Spot 19
2460	2475	Sprint 22
2475	2490	Sweet Spot 20
2490	2505	Sprint 23
2505	2535	Sweet Spot 21
2535	2550	Sprint 24
2550	2565	Sweet Spot 22
2565	2580	Sprint 25
2580	2610	Sweet Spot 23
2610	2625	Sprint 26
2625	2640	Sweet Spot 24
2640	2655	Sprint 27
2955	2970	Sweet Spot 25
2970	2985	Sprint 28
2985	3000	Sweet Spot 26
3000	3015	Sprint 29
3015	3045	Sweet Spot 27
3045	3060	Sprint 30
3060	3075	Sweet Spot 28
3075	3090	Sprint 31
3090	3120	Sweet Spot 29
3120	3135	Sprint 32
3135	3150	Sweet Spot 30
3150	3165	Sprint 33
3165	3195	Sweet Spot 31
3195	3210	Sprint 34
3210	3225	Sweet Spot 32
3225	3240	Sprint 35
3540	3555	Sweet Spot 33
3555	3570	Sprint 36
3570	3585	Sweet Spot 34
3585	3600	Sprint 37
3600	3630	Sweet Spot 35
3630	3645	Sprint 38
3645	3660	Sweet Spot 36
3660	3675	Sprint 39
3675	3705	Sweet Spot 37
3705	3720	Sprint 40
3720	3735	Sweet Spot 38
3735	3750	Sprint 41
3750	3780	Sweet Spot 39
3780	3795	Sprint 42
3795	3810	Sweet Spot 40
3810	3825	Sprint 43
4125	4140	Sweet Spot 41
4140	4155	Sprint 44
4155	4170	Sweet Spot 42
4170	4185	Sprint 45
4185	4215	Sweet Spot 43
4215	4230	Sprint 46
4230	4245	Sweet Spot 44
4245	4260	Sprint 47
4260	4290	Sweet Spot 45
4290	4305	Sprint 48
4305	4320	Sweet Spot 46
4320	4335	Sprint 49
4335	4365	Sweet Spot 47
4365	4380	Sprint 50
4380	4395	Sweet Spot 48
4395	4410	Sprint 51
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

